Removed Member From Class: ClassName=DDR Member=U?
Added Component: Designator=C?(0402_C)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "供应商链接"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.szlcsc.com/product/details_1928.html"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Notepad"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier"; Value = "LC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SuppliersPartNumber"; Value = "C1576"; VariantName = "[No Variations]"
Added Component: Designator=R?(0402_R)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "供应商链接"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.szlcsc.com/product/details_26667.html"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Notepad"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier"; Value = "LC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SuppliersPartNumber"; Value = "C25924"; VariantName = "[No Variations]"
Added Pin To Net: NetName=USB_5V Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-2
Added Pin To Net: NetName=USB_5V Pin=R?-2
Added Pin To Net: NetName=GND Pin=U?-3
Added Pin To Net: NetName=CP2102_DP Pin=U?-4
Added Pin To Net: NetName=CP2102_DN Pin=U?-5
Added Pin To Net: NetName=USB_5V Pin=U?-7
Added Pin To Net: NetName=USB_5V Pin=U?-8
Added Pin To Net: NetName=GND Pin=U?-29
Add Net: Net with name "NetR?_1" already exists
Added Member To Class: ClassName=DDR Member=Component C? 0.1uF
Added Member To Class: ClassName=DDR Member=Component C? 0.1uF
Added Member To Class: ClassName=DDR Member=Component C? 0.1uF
Added Member To Class: ClassName=DDR Member=Component C? 0.1uF
Added Member To Class: ClassName=DDR Member=Component C? 0.1uF
Added Member To Class: ClassName=DDR Member=Component C? 0.1uF
Added Member To Class: ClassName=Power Member=Component C? 22uF
Added Member To Class: ClassName=Power Member=Component C? 22uF
Added Member To Class: ClassName=Power Member=Component C? 22uF
Added Member To Class: ClassName=Power Member=Component C? 22uF
Added Member To Class: ClassName=Power Member=Component C? 22pF
Added Member To Class: ClassName=Power Member=Component C? 22uF
Added Member To Class: ClassName=Power Member=Component C? 22uF
Added Member To Class: ClassName=Power Member=Component R? 510K
Added Member To Class: ClassName=Power Member=Component R? 5.1K
Added Member To Class: ClassName=Power Member=Component R? 110K
Added Member To Class: ClassName=Power Member=Component R? 10K
Added Member To Class: ClassName=Power Member=Component R? 5.1K
Added Member To Class: ClassName=EP4CE6E22C8N Member=Component RESET? 3x6x5
Added Member To Class: ClassName=EP4CE6E22C8N Member=Component RESET? 3x6x5
Added Member To Class: ClassName=Power Member=Component U? SGM3157
Added Member To Class: ClassName=Power Member=Component U? MT3420B
Added Member To Class: ClassName=Power Member=Component U? SGM3157
Added Member To Class: ClassName=Power Member=Component V? AMS1117-2V5
